s2id,label,anchor_group,lat,lon
10684a6b,"ONNE,NGA",315,4.673675558008926,7.154562508618303
1068358d,"ONNE,NGA",315,4.698662203438131,7.157172816251905
106835f9,"ONNE,NGA",315,4.694291397008229,7.170600248764266
106835fd,"ONNE,NGA",315,4.69637773900837,7.177986827188229
106835ff,"ONNE,NGA",315,4.6947820992820715,7.175253328571668
1068358b,"ONNE,NGA",315,4.695905684827987,7.15726689753407
1068538b,"BONNY,NGA",316,4.447869206479908,7.154139052257969
106853e7,"BONNY,NGA",316,4.462862091280956,7.170486244289608
106853f3,"BONNY,NGA",316,4.452926049804098,7.1602793813211765
106853d5,"BONNY,NGA",316,4.483776234974375,7.176802247799031
106853ef,"BONNY,NGA",316,4.458471076382237,7.165398154780422
1068545f,"BONNY,NGA",316,4.422345648679766,7.140517619043877
106853eb,"BONNY,NGA",316,4.462491961410057,7.162041381940803
1068546b,"BONNY,NGA",316,4.428219290680157,7.155574102905233
106853ed,"BONNY,NGA",316,4.457990406472145,7.161173012687611
1068517f,"BONNY,NGA",316,4.483605491921295,7.181422268492318
10685389,"BONNY,NGA",316,4.447166616954866,7.150909665563109
10685467,"BONNY,NGA",316,4.4272966373778715,7.14494711854229
106853db,"BONNY,NGA",316,4.472247926311296,7.171379759928464
10685459,"BONNY,NGA",316,4.415963161631286,7.138325656444293
106853e9,"BONNY,NGA",316,4.4631821894156865,7.165157149276749
1068538d,"BONNY,NGA",316,4.452304292676657,7.154445201275123
106853e5,"BONNY,NGA",316,4.457606775856347,7.17034265897387
10685477,"BONNY,NGA",316,4.442877604845567,7.149746350707303
106853c5,"BONNY,NGA",316,4.471589350009532,7.166902262621484
106853f1,"BONNY,NGA",316,4.453765386863218,7.164483616981104
106853f5,"BONNY,NGA",316,4.448801162054598,7.160202351734296
106853c3,"BONNY,NGA",316,4.4680323898485375,7.166076419207028
106853dd,"BONNY,NGA",316,4.468486666060027,7.171039615393215
10685461,"BONNY,NGA",316,4.426951558237126,7.1397615430110255
1068545d,"BONNY,NGA",316,4.421878235462927,7.14401751470723
106853d9,"BONNY,NGA",316,4.472582639627445,7.175119495016637
10685475,"BONNY,NGA",316,4.443067287308224,7.153713150940331
10685181,"PORT HARCOURT,NGA",316,4.48836942063004,7.181526274519366
10685185,"PORT HARCOURT,NGA",316,4.493263776767774,7.185956485140995
10685187,"PORT HARCOURT,NGA",316,4.493233471841145,7.18158297417381
10685183,"PORT HARCOURT,NGA",316,4.488319445925232,7.186240205014435
10685189,"PORT HARCOURT,NGA",316,4.4978901444688315,7.181237365098702
1068522b,"PORT HARCOURT,NGA",316,4.488115640109584,7.17730581991239
1068bdff,"YOHO,NGA",318,4.0325933178217745,7.525962397963176
1068c2ff,"OKONO TERMINAL,NGA",319,4.000091509646384,7.304789489713088
1068e185,"SHELL SLOT BONNY,NGA",320,4.111069942917823,7.128575262735779
1068e18f,"SHELL SLOT BONNY,NGA",320,4.1110884034525785,7.122692759270855
1068e19b,"SHELL SLOT BONNY,NGA",320,4.107538517907346,7.128738574347705
1068e56b,"BONNY OFFSHORE TERMINAL,NGA",321,4.176833921096103,7.247457805613201
1068e51b,"BONNY OFFSHORE TERMINAL,NGA",321,4.173037515429471,7.231470119674654
1068e519,"BONNY OFFSHORE TERMINAL,NGA",321,4.175556249158521,7.2306979034336685
1068e547,"BONNY OFFSHORE TERMINAL,NGA",321,4.187165003261132,7.244656034694163
1069c94f,"PORT HARCOURT,NGA",322,4.769303433307308,6.994757076626669
1069c929,"PORT HARCOURT,NGA",322,4.768982932555007,6.9660217987186535
1069cbff,"PORT HARCOURT,NGA",322,4.771814329920928,7.009176695011418
1069c959,"PORT HARCOURT,NGA",322,4.761990057602157,7.004481687540918
1069c957,"PORT HARCOURT,NGA",322,4.76497958764546,7.006523530752654
1069c92b,"PORT HARCOURT,NGA",322,4.770727005439965,6.965671917118657
1069c955,"PORT HARCOURT,NGA",322,4.774175500462174,7.003372068660731
1069cbfd,"PORT HARCOURT,NGA",322,4.767308742390764,7.008279795699047
1069c933,"PORT HARCOURT,NGA",322,4.774032554827909,6.977974880980963
1069c961,"PORT HARCOURT,NGA",322,4.751589809633073,7.002172174493484
1069cb99,"PORT HARCOURT,NGA",323,4.755466463777038,7.0428882471238925
1069cba3,"LAGOS EKO ATLANTIC,NGA",323,4.751129076402313,7.0432503318499
106b05ab,"PENNINGTON OIL TERMINAL,NGA",324,4.2512664797472075,5.606890884471718
106b05b1,"PENNINGTON OIL TERMINAL,NGA",324,4.246607331614238,5.617326269610303
106c8dff,"AGBAMI,NGA",325,3.482320323415485,5.565696201100443
106c8dfd,"AGBAMI,NGA",325,3.48178546764894,5.569635764941248
106c9201,"AGBAMI,NGA",325,3.4820979842924387,5.559187004832648
106c8e01,"AGBAMI,NGA",325,3.486264369736924,5.565071186132125
106ef3fd,"AKPO NIGERIA,NGA",326,3.1619144633535003,6.831088931187022
106ef3ff,"AKPO NIGERIA,NGA",326,3.159120994280534,6.831469961223932
